Category,Subcategory,Location Name,Store ID,Address,Suite #,City,State,Zip Code,Phone,Hours,Website,Source,Supplier,Filtration Method,Size(s),Price,Category,Subcategory
,,Los Lavaderos Laundry 3,,954 N Virgil Ave,,Los Angeles,CA,90029,,,,,,,,,,
,,Offshore Gas,,1050 S Ventura Rd,,Oxnard,CA,93030,,,,,,,,,,
,,La Estrella Market,,1523 W Katella Ave,Ste 3,Anaheim,CA,92802,,,,,,,,,,
,,Save Mart,,5750 N. First St.,,Fresno,CA,93710,,,,,,,,,,
,,Los Tres Amigos Market,,1517 1/2 W 6 Th Street,,Los Angeles,CA,90017,,,,,,,,,,
,,Food Maxx,,4400 Ming Ave.,,Bakersfield,CA,93309,,,,,,,,,,
,,El Mercadito,,8829 Highway 33,,Westley,CA,95387,,,,,,,,,,
,,Vermont Market,,5402 S Vermont,,Los Angeles,CA,90037,,,,,,,,,,
,,"Cj Agua Pura, Inc.",,13669 East Manning Avenue,Suite 106,Parlier,CA,93648,,,,,,,,,,
,,Supermax,,906 Eastlake,,Watsonville,CA,95076,,,,,,,,,,
,,Hollywood Laundromat,,720 N Vermont Ave,,Los Angeles,CA,90029,,,,,,,,,,
,,Save A Lot 0936,,521 Finley Ave,,Taft,CA,93268,,,,,,,,,,
,,Golden Dollar & Water Store,,4511 East Chapman Avenue,,Orange,CA,92869,,,,,,,,,,
,,Vallarta 25,,3425 Whittier Blvd,,Boyle Heights,CA,90023,,,,,,,,,,
,,Pico De Gallo Market,,576 Santa Fe Dr,,Encinitas,CA,92024,,,,,,,,,,
,,Top Valu 09,,421 Pacific Ave,,Long Beach,CA,90802,,,,,,,,,,
,,Sandys Liquor (Mark & Mikes),,586 Higuera St,,San Luis Obispo,CA,93401,,,,,,,,,,
,,Vons 2041,,11861 Valley View,,Garden Grove,CA,92845,,,,,,,,,,
,,Surf Super Market,,29350 S. Hwy 1,,Gualala,CA,95445,,,,,,,,,,
,,El Charro Market,,480 W Tenyson Rd,,Hayward,CA,94544,,,,,,,,,,
,,CVS 09855,,3320 Tracy Blvd.,,Tracy,CA,95376,,,,,,,,,,
,,Albertsons 6121,,5750 Mesmer Ave,,Culver City,CA,90230,,,,,,,,,,
,,CVS 09859,,3935 Cochran Street,,Simi Valley,CA,93063,,,,,,,,,,
,,Waterstop 033,,143 Atlantic Ave,,Pittsburg,CA,94565,,,,,,,,,,
,,B K Liquor Market,,9201 State St,,South Gate,CA,90280,,,,,,,,,,
,,Pancho Mercado Latino,,4945 Long Beach Blvd,,Long Beach,CA,90805,,,,,,,,,,
,,Don Gordo's Launderland,,45680 Salton Street,,Indio,CA,92201,,,,,,,,,,
,,Albertsons 6797,,1601 S Melrose,,Vista,CA,92083,,,,,,,,,,
,,Pacific West Coin Laundry,,759 E Jefferson Blvd,,Los Angeles,CA,90011,,,,,,,,,,
,,Safeway 2512 0799,,117 Morrissey Blvd,,Santa Cruz,CA,95062,,,,,,,,,,
,,CVS 09198,,1675 Hollenbeck Avenue,,Sunnyvale,CA,94087,,,,,,,,,,
,,CVS 09109,,6265 El Cajon Blvd,,San Diego,CA,92115,,,,,,,,,,
,,Earth Fresh Food Market,,3170 Jefferson Blvd,,West Sacramento,CA,95691,,,,,,,,,,
,,Winters True Value Hardware,,500 Railroad Avenue,,Winters,CA,95694,,,,,,,,,,
,,Circle Market,,3504 Bancroft Drive,,Spring Valley,CA,91977,,,,,,,,,,
,,Espana Liquor,,9548 Jamacha Blvd,,Spring Valley,CA,91977,,,,,,,,,,
,,CVS 09772,,2511 Somersville Road,,Antioch,CA,94509,,,,,,,,,,
,,Kettleman City Market,,216 Becky Tease,,Kettleman City,CA,93239,,,,,,,,,,
,,CVS 05841,,2330 S Main St,,Santa Ana,CA,92707,,,,,,,,,,
,,Arco Parks & University,,7574 University Avenue,,La Mesa,CA,91941,,,,,,,,,,
,,Greenland Market,,18901 E Colima Rd,,Rowland Heights,CA,91748,,,,,,,,,,
,,Rite Aid 5578,,4200 Chino Hills Parkway,,Chino,CA,91709,,,,,,,,,,
,,Rite Aid 5494,,8508 Painter Ave,,Whittier,CA,90602,,,,,,,,,,
,,Shop N Go,,3512 Cajon Blvd,,San Bernardino,CA,92405,,,,,,,,,,
,,Safeway 2501 0978,,660 South Main Street,,Fort Bragg,CA,95437,,,,,,,,,,
,,Grocery Outlet 160,,2358 Lake Tahoe Blvd,,South Lake Tahoe,CA,95150,,,,,,,,,,
,,Trona Liquor,,84508 Trona Rd,,Trona,CA,93562,,,,,,,,,,
,,Waterland Agua Max,,2929 Division Street,,Los Angeles,CA,90065,,,,,,,,,,
,,La Michoacana,,9810 Stephens St,,Delhi,CA,95315,,,,,,,,,,
,,Mini Max,,124 W Inyo,,Tulare,CA,93274,,,,,,,,,,
,,Hometown Foods,,925 N Adams Street,,Dixon,CA,95620,,,,,,,,,,
,,Rite Aid 6010,,1032 Oakdale Rd,,Modesto,CA,95355,,,,,,,,,,
,,Stephens & Schendel,,9735 Stephens St.,,Delhi,CA,95315,,,,,,,,,,
,,99 Cent World,,16758 Lakeshore Dr,,Lake Elsinore,CA,92530,,,,,,,,,,
,,Colorado Liquor & Market,,468 W Colorado Street,,Glendale,CA,91204,,,,,,,,,,
,,Glendale Ranch Market,,1122 South Central Ave,,Glendale,CA,91204,,,,,,,,,,
,,Walnut & 101,,500 Walnut Ave,,Greenfield,CA,93927,,,,,,,,,,
,,Food 4 Less Kroger,,2090 S. Garey Ave,,Pomona,CA,91766,,,,,,,,,,
,,Jrs Liquor & Market,,7633 Wilcox Ave,,Cudahy,CA,90201,,,,,,,,,,
,,La Fortuna Discount Plus,,2900 Randolph St,,Huntington Park,CA,90255,,,,,,,,,,
,,Albertsons 6227,,351 Wake Ave,,El Centro,CA,92243,,,,,,,,,,
,,Divines Market And Liquor,,25181 W Main St,,Barstow,CA,92311,,,,,,,,,,
,,Lucky,,19181 Sonoma Hwy,,Sonoma,CA,95476,,,,,,,,,,
,,CVS 09601,,1015 N San Fernando Blvd,,Burbank,CA,91504,,,,,,,,,,
,,Rodriguez Market,,4300 Griffin Ave,,Los Angeles,CA,90031,,,,,,,,,,
,,Carniceria La Famosa #2,,650 W. Latham Ave.,,Hemet,CA,92543,,,,,,,,,,
,,Muir Industries,,445 Tecate Road,,Tecate,CA,91980,,,,,,,,,,
,,Jackson Liquor,,44350 Jackson St,,Indio,CA,92202,,,,,,,,,,
,,Rite Aid 5712,,6150 Van Buren Blvd,,Riverside,CA,92503,,,,,,,,,,
,,Mckee Shop & Pure Water,,1608 Mckee Road,Suite 45,San Jose,CA,95116,,,,,,,,,,
,,Safeway 2510 1259,,3365 Deer Valley Road,,Antioch,CA,94509,,,,,,,,,,
,,Hayward Chevron,,26990 Hesperian Blvd,,Hayward,CA,94545,,,,,,,,,,
,,Ralphs,,583 N. Ventu Park Rd.,,Newbury Park,CA,91320,,,,,,,,,,
,,CVS 09193,,1380 S 43 Rd St,,San Diego,CA,92113,,,,,,,,,,
,,Rite Aid 4205 6019,,651 N Golden State Blvd.,,Turlock,CA,95380,,,,,,,,,,
,,Holly's Drinking Water Store,,3119 North San Gabriel Blvd,Suite B,Rosemead,CA,91770,,,,,,,,,,
,,Nugget Market 11,,130 Brownsvalley Pkwy,,Vacaville,CA,95688,,,,,,,,,,
,,Lucky 7 Market,,10337 Telephone Rd,,Ventura,CA,93004,,,,,,,,,,
,,Circle K 5426 (Pcf),,8510 Gravenstein Hwy,,Cotati,CA,94931,,,,,,,,,,
,,CVS 09730,,2141 S. Hacienda,,Hacienda Heights,CA,91745,,,,,,,,,,
,,Valu Plus 04,,120 W Anaheim,,Wilmington,CA,90744,,,,,,,,,,
,,Food 4 Less 04 Paq,,3434 Manthey Rd,,Stockton,CA,95206,,,,,,,,,,
,,Circle K 5640 (Pcf),,954 S Grand Ave,,Glendora,CA,91740,,,,,,,,,,
,,Beverly Hills Laundry,,901 N. Western,,Los Angeles,CA,90029,,,,,,,,,,
,,Foods Co.,,345 Williams Ave,,San Francisco,CA,94124,,,,,,,,,,
,,Universal Grocery,,5021 Santa Monica Blvd,,Los Angeles,CA,90029,,,,,,,,,,
,,Family Laundry Plus,,8418 Alondra Blvd,,Paramount,CA,90723,,,,,,,,,,
,,Circle K 2655181 (Franchise),,1005 East Mission Road,,Fallbrook,CA,92028,,,,,,,,,,
,,Clean King 27,,4105 4 Th Avenue,,Los Angeles,CA,90062,,,,,,,,,,
,,Fruitvale Laundry,,1502 Fruitvale Ave,,Oakland,CA,94601,,,,,,,,,,
,,The California Moblie Home Pk,,7101 E Rosecrans Ave Space 125,,Paramount,CA,90723,,,,,,,,,,
,,Diamond Valley Rv Park,,344 N State St,,San Jacinto,CA,92583,,,,,,,,,,
,,Marukai Forum,,1420 S Azusa Ave,,West Covina,CA,91791,,,,,,,,,,
,,Kwik Korner 2,,135 S Alta Ave,,Dinuba,CA,93618,,,,,,,,,,
,,Arrow Plaza Market,,9755 Arrow Hwy,,Rancho Cucamonga,CA,91730,,,,,,,,,,
,,50 Cents Wash,,7143 Broadway,,Lemon Grove,CA,91945,,,,,,,,,,
,,El Ranchito Market,,200 E. Pacific Coast Hwy,,Long Beach,CA,90806,,,,,,,,,,
,,Liras Market 2,,2977 Hwy 50,,Lake Tahoe,CA,96150,,,,,,,,,,
,,Modern Mini Mart & Liquor,,3000 E Florence Ave,,Huntington Park,CA,90255,,,,,,,,,,
,,Twentynine Farms,,73544 29 Palms Hwy,,Twentynine Palms,CA,92277,,,,,,,,,,
,,Super 1 Foods,,3701 E Tulare Ave,,Fresno,CA,93702,,,,,,,,,,
,,Ralphs,,5035 Pacific Coast Hwy,,Torrance,CA,90505,,,,,,,,,,
,,Venture Petroleum 9730,,727 S East St,,Anaheim,CA,92805,,,,,,,,,,
,,Safeway 2504 0790,,555 Bancroft Ave,,San Leandro,CA,94577,,,,,,,,,,
,,Pico Laundromat,,2669 West Pico Blvd,,Los Angeles,CA,90006,,,,,,,,,,
,,B Brothers Mini Mart,,4847 Amber Lane,,Sacramento,CA,95841,,,,,,,,,,
,,Stater Brothers,,1800 E. Collins Ave.,,Orange,CA,92867,,,,,,,,,,
,,Hazit Market,,610 E Nuevo,,Perris,CA,92571,,,,,,,,,,
,,Ralphs,,1100 N. San Fernando Blvd,,Burbank,CA,91504,,,,,,,,,,
,,La Colmena Market,,501 S Lincoln,,Santa Maria,CA,93454,,,,,,,,,,
,,Ranch Gas & Food,,105 San Felipe Road,,Hollister,CA,95023,,,,,,,,,,
,,CVS 09850,,5969 N Lankershim Blvd,,North Hollywood,CA,91601,,,,,,,,,,
,,Rancho Del Arroyo,,2700 Cienaga Street Ste 15,,Oceano,CA,93445,,,,,,,,,,
,,99 Cents Plus Grocery,,156 S Butte St,,Willows,CA,95988,,,,,,,,,,
,,Country Life Motor Home Rv Par,,375 E Ross Rd,,El Centro,CA,92243,,,,,,,,,,
,,"California Pure Water, Inc.",,1535 Landress Avenue,Suite 102,Milpitas,CA,95035,,,,,,,,,,
,,Safeway 2507 0969,,1355 Moraga Way,,Moraga,CA,94556,,,,,,,,,,
,,Wmsc #3522 (Ca0231),,3250 Big Dalton Ave,,Baldwin Park,CA,91706,,,,,,,,,,
,,Sunflower Market,,1700 Mchenry Blvd,,Modesto,CA,95350,,,,,,,,,,
,,Panchos Market 2,,5500 Main St,,Oakley,CA,94561,,,,,,,,,,
,,Donut Ave Calexico,,101 East 3 Rd Street,,Calexico,CA,92231,,,,,,,,,,
,,Su Casa Market,,5014 S Saviers Rd,,Oxnard,CA,93030,,,,,,,,,,
,,Los Compadres Restaurant,,7540 E Rosecrans Ave,,Paramount,CA,90723,,,,,,,,,,
,,Waterstop 120,,101 N Depot Street,,Santa Maria,CA,93454,,,,,,,,,,
,,Compton Market & Liquor,,4187 S Compton Ave,,Los Angeles,CA,90011,,,,,,,,,,
,,CVS 09975,,4400 Coffee Road,,Bakersfield,CA,93308,,,,,,,,,,
,,Circle K 0538,,43955 Clinton Street,,Indio,CA,92201,,,,,,,,,,
,,7 Eleven Store 25302,,711 Jamacha Rd,,El Cajon,CA,92019,,,,,,,,,,
,,Advance Food Market,,5469 W Adams Blvd,,Los Angeles,CA,90016,,,,,,,,,,
,,Superior 112,,111 East Compton Blvd,,Compton,CA,90220,,,,,,,,,,
,,Safeway 2514 0111,,106 Neal Street,,Grass Valley,CA,95945,,,,,,,,,,
,,Chicago Market,,735 S Chicago St,,Los Angeles,CA,90023,,,,,,,,,,
,,Midway Market Jr,,21700 Markham Street,,Perris,CA,92570,,,,,,,,,,
,,Circle 6,,1810 Ethan Way,,Sacramento,CA,95825,,,,,,,,,,
,,CVS 08866,,1706 Oceanside Blvd,,Oceanside,CA,92054,,,,,,,,,,
,,Value Express,,1299 N D Street,,San Bernardino,CA,92405,,,,,,,,,,
,,99 Cent + Plus Store,,1901 W. 8th Street,,Los Angeles,CA,90057,,,,,,,,,,
,,Ralphs,,20060 Ventura Blvd,,Woodland Hills,CA,91364,,,,,,,,,,
,,Kings Liquor,,320 E Street,,Chula Vista,CA,91910,,,,,,,,,,
,,Food Maxx,,1751 Monument Blvd.,,Concord,CA,94520,,,,,,,,,,
,,Costa Mesa Apartments,,846 Center Avenue,,Costa Mesa,CA,92627,,,,,,,,,,
,,Save Mart,,9600 Hageman,,Bakersfield,CA,93312,,,,,,,,,,
,,CVS 09204,,3500 Stine Road,,Bakersfield,CA,93309,,,,,,,,,,
,,H2 O To Go,,10366 Beaumont Avenue,,Cherry Valley,CA,92223,,,,,,,,,,
,,Cardenas 14,,301 South Lincoln Ave,,Corona,CA,92882,,,,,,,,,,
,,Stater Brothers,,1451 N. Santa Fe Ave.,,Vista,CA,92084,,,,,,,,,,
,,Juiceria & Water,,1977 North Tustin Avenue,,Orange,CA,92865,,,,,,,,,,
,,Rays Liquor (Mark & Mikes),,207 Walnut St,,Chico,CA,95928,,,,,,,,,,
,,Stater Brothers,,6501 E. Spring St.,,Long Beach,CA,90815,,,,,,,,,,
,,CVS 08846,,21572 Plano Trabuco,,Trabuco Canyon,CA,92679,,,,,,,,,,
,,Namase Plaza,,1202 Apollo Way,,Sunnyvale,CA,94085,,,,,,,,,,
,,Jiffys Store,,538 Central Ave,,Shafter,CA,93263,,,,,,,,,,
,,Valero Gas,,14200 Telegraph Rd,,Whittier,CA,90604,,,,,,,,,,
,,Choice Market 1,,2106 W Olive,,Fresno,CA,93728,,,,,,,,,,
,,General Store,,24601 Glen Ivy Rd,,Corona,CA,92883,,,,,,,,,,
,,G & M Oil 103,,101 E Lambert Rd,,La Habra,CA,90631,,,,,,,,,,
,,California Pure Water,,39131 Cedar Blvd.,,Newark,CA,94560,,,,,,,,,,
,,Staff Of Life,,1305 Water Street,,Santa Cruz,CA,95060,,,,,,,,,,
,,Dinuba Market,,649 W Kern Ave,,Dinuba,CA,93618,,,,,,,,,,
,,CVS 09735,,727 S. Glendora,,West Covina,CA,91790,,,,,,,,,,
,,Save Mart,,8839 Greenback,,Orangevale,CA,95662,,,,,,,,,,
,,Hcp Drinking Water & Juice Stop,,16462 Norwalk Blvd,,Cerritos,CA,90703,,,,,,,,,,
,,CVS 09684,,2630 W El Camino,,Mountain View,CA,94040,,,,,,,,,,
,,Payless Foods,,2809 Via Campo,,Montebello,CA,90640,,,,,,,,,,
,,Certified Market,,227 E. Foothill Blvd,,Monrovia,CA,91016,,,,,,,,,,
,,Vons 2415,,2401 N. Chester,,Oildale,CA,93308,,,,,,,,,,
,,Allstar Mini Mart,,13981 Ada St,,Armona,CA,93202,,,,,,,,,,
,,Sombrero Market,,371 S La Cadena Dr,,Colton,CA,92324,,,,,,,,,,
,,Placertia Liquor,,24356 58 San Fernando Rd,,Newhall,CA,91321,,,,,,,,,,
,,Alta Dena Dairy,,1385 West Foothill Blvd.,,Upland,CA,91786,,,,,,,,,,
,,Albertos Meat & Produce Market,,4851 S Long Beach Ave,,Los Angeles,CA,90058,,,,,,,,,,
,,CVS 09391,,1113 E Champlain Ave,,Fresno,CA,93720,,,,,,,,,,
,,Mckee Pure Water,,2349 Mckee Road,,San Jose,CA,95116,,,,,,,,,,
,,Save Mart,,386 Elm Ave.,,Auburn,CA,95603,,,,,,,,,,
,,Canyon 76,,404 Telegraph Canyon Rd,,Chula Vista,CA,91910,,,,,,,,,,
,,Rite Aid 5695,,16910 Foothill,,Fontana,CA,92335,,,,,,,,,,
,,Catalina Market,,1037 Torrance Blvd,,Torrance,CA,90502,,,,,,,,,,
,,Oakland Pure Water,,839 International Blvd,Suite D,Oakland,CA,94606,,,,,,,,,,
,,T & T Market,,801 Skyline Blvd,,Avenal,CA,93204,,,,,,,,,,
,,Circle K Franchisse 2655155,,300 N Fern St,,Cabazon,CA,92230,,,,,,,,,,
,,7 Eleven 13610,,6953 La Jolla Blvd,,La Jolla,CA,92037,,,,,,,,,,
,,El Torito Carniceria,,10851 Limonite Ave,,Mira Loma,CA,91752,,,,,,,,,,
,,CVS 2289,,19701 Vanowen St,,Winnetka,CA,91306,,,,,,,,,,
,,Olive And I,,315 W. Olive Ave,,Madera,CA,93637,,,,,,,,,,
,,Rite Aid 4201 5942,,31836 Alvarado Blvd.,,Union City,CA,94587,,,,,,,,,,
,,Country Cousins,,4594 E Olive Ave,,Fresno,CA,93702,,,,,,,,,,
,,Sierra Gateway Market 2,,14606 Highway 178,,Lake Isabella,CA,93240,,,,,,,,,,
,,Safeway 2508 1531,,7301 Greenback,,Citrus Heights,CA,95621,,,,,,,,,,
,,Value Express,,16454 Merill Ave,,Fontana,CA,92335,,,,,,,,,,
,,Stater Brothers,,8522 Westminster Blvd.,,Westminster,CA,92683,,,,,,,,,,
,,Safeway 0793,,600 F Street,,Arcata,CA,95521,,,,,,,,,,
,,Food Corral,,298 Carmel Ave,,Marina,CA,93933,,,,,,,,,,
,,Las Montanas,,2691 Monument Blvd,,Concord,CA,94519,,,,,,,,,,
,,Dollar Tree 2889,,6 N Euclid Ave,,National City,CA,91950,,,,,,,,,,
,,Madera Valero,,1488 S Madera Ave,,Madera,CA,93637,,,,,,,,,,
,,Albertsons 6505,,16840 Main Street,,Hesperia,CA,92345,,,,,,,,,,
,,La Charrita Market,,8560 Brentwood Blvd,,Brentwood,CA,94513,,,,,,,,,,
,,Safeway 2510 1234,,1125 Second Street,,Brentwood,CA,94513,,,,,,,,,,
,,Willow Market,,37 Willow St,,Redwood City,CA,94063,,,,,,,,,,
,,Safeway 2505 1197,,1790 Decoto Rd,,Union City,CA,94587,,,,,,,,,,
,,Shop Rite Supermarket,,5800 Bancroft Ave,,Oakland,CA,94605,,,,,,,,,,
,,New World Pure Water,,1040 Grant Road,Suite 300,Mountain View,CA,94040,,,,,,,,,,
,,Super King Market,,2716 S San Fernando Rd,,Los Angeles,CA,90065,,,,,,,,,,
,,CVS 09105,,12358 Poway Rd,,Poway,CA,92064,,,,,,,,,,
,,Rite Aid 6481,,32450 Clinton Keith Rd,,Wildomar,CA,92595,,,,,,,,,,
,,Circle K 5063,,8190 Mission Blvd,,Glen Avon,CA,92509,,,,,,,,,,
,,Food Maxx,,1870 N. Broadway,,Santa Maria,CA,93454,,,,,,,,,,
,,Fastrip 777,,692 S. San Jacinto Blvd,,San Jacinto,CA,92583,,,,,,,,,,
,,Y & Y Market,,373 W 39 Th Street,,Los Angeles,CA,90037,,,,,,,,,,
,,Sprouts Farmers Market 206,,3775 Alto Parkway,,Irvine,CA,92606,,,,,,,,,,
,,Super Pure Water,,1845 West 11 Th Street,,Tracy,CA,95376,,,,,,,,,,
,,Albertsons 6767,,3925 Mission Ave,,Oceanside,CA,92054,,,,,,,,,,
,,El Tapatio 106,,5800 Van Buren Blvd,,Riverside,CA,92503,,,,,,,,,,
,,Sheilds Food Market,,425 W Sheilds Ave,,Fresno,CA,93704,,,,,,,,,,
,,Pavilion 2206,,16450 Beach Blvd,,Westminster,CA,92683,,,,,,,,,,
,,Rite Aid 5795,,1119 Visalia Road,,Exeter,CA,93221,,,,,,,,,,
,,Albertsons 6544,,3180 N. Garey,,Pomona,CA,91767,,,,,,,,,,
,,Vons 3263,,1342 N. Alvarado,,Los Angeles,CA,90026,,,,,,,,,,
,,Y P Water,,23421 Avalon Blvd,,Carson,CA,90745,,,,,,,,,,
,,Rotten Robbies 63,,535 Healdsburg,,Healdsburg,CA,95448,,,,,,,,,,
,,Vons 2261,,3461 W. Third St,,Los Angeles,CA,90005,,,,,,,,,,
,,Mupu Market,,4348 Ojai Rd,,Santa Paula,CA,93060,,,,,,,,,,
,,Qbp Coin Laundry,,150 E Channel Island Blvd,,Oxnard,CA,93030,,,,,,,,,,
,,John's Pure Water & Supplies,,14341 Beach Blvd,Suite F,Westminster,CA,92683,,,,,,,,,,
,,Vons 2336,,360 E. H Street,,Chula Vista,CA,91910,,,,,,,,,,
,,CVS 03033,,110 E Stetson Ave,,Hemet,CA,92543,,,,,,,,,,
,,Rite Aid 5685,,72253 Twenty Nine Palms Hwy,,Twentynine Palms,CA,92277,,,,,,,,,,
,,Ralphs,,655 S. Grand Ave.,,Glendora,CA,91740,,,,,,,,,,
,,Buddy's Market,,4077 Avalon Blvd.,,Los Angeles,CA,90011,,,,,,,,,,
,,Grocery Outlet 058,,191 Depot St,,Vacaville,CA,95688,,,,,,,,,,
,,Chester & Dorian,,2625 S. Chester Ave.,,Bakersfield,CA,93304,,,,,,,,,,
,,Mi Rancho,,2355 Florin Road,,Sacramento,CA,95822,,,,,,,,,,
,,Stater Brothers,,1111 E. Imperial Hwy,,Placentia,CA,92886,,,,,,,,,,
,,Vons 2163,,660 E. Los Angeles,,Simi Valley,CA,93065,,,,,,,,,,
,,Circle H Market,,3131 N San Fernando Rd,,Los Angeles,CA,90065,,,,,,,,,,
,,Ralphs,,8626 Firestone Blvd,,Downey,CA,90241,,,,,,,,,,
,,De Leon Rentals,,2146 Logan Ave,,San Diego,CA,92113,,,,,,,,,,
,,La Tapatia Market,,646 South 13 Th,,Grover Beach,CA,93433,,,,,,,,,,
,,Island Pacific Supermarket,,4122 Dyer St,,Union City,CA,94587,,,,,,,,,,
,,Albertsons 6324,,222 East Highway 246,,Buellton,CA,93427,,,,,,,,,,
,,Thrifty Coin Laundry,,1125 Victoria Street # T,,Costa Mesa,CA,92627,,,,,,,,,,
,,Fastrip 892,,16117 Main St,,Hesperia,CA,92345,,,,,,,,,,
,,Food Maxx,,1160 Oroville Dam Rd.,,Oroville,CA,95965,,,,,,,,,,
,,Sav Mor 14,,35 E Walker St,,Orland,CA,95963,,,,,,,,,,
,,Ronco Gas,,1158 E Washington Ave,,Escondido,CA,92025,,,,,,,,,,
,,La Mazorca Tortilleria Inc,,13628 Magnolia Ave,,Corona,CA,92879,,,,,,,,,,
,,Safeway 936,,710 Bancroft Rd,,Walnut Creek,CA,94598,,,,,,,,,,
,,Jm Coin Laundry,,4161 S Figueroa St,,Los Angeles,CA,90037,,,,,,,,,,
,,Home Depot 1055,,28033 Newhall Ranch Rd,,Santa Clarita,CA,91355,,,,,,,,,,
,,Main Central Market,,822 W Main St,,Santa Maria,CA,93454,,,,,,,,,,
,,Naturestill Pure Water Store,,9545 Central Avenue,,Montclair,CA,91768,,,,,,,,,,
,,Mexico Super,,32575 Mission Blvd,,Hayward,CA,94544,,,,,,,,,,
,,Safeway 2510 1769,,2808 Country Club Blvd,,Stockton,CA,95204,,,,,,,,,,
,,Amigos Market,,230 Front St,,Earlimart,CA,93219,,,,,,,,,,
,,Hayward Produce,,370 Winton Avenue,,Hayward,CA,94544,,,,,,,,,,
,,Rite Aid 4211 6086,,4300 Elverta Rd,,Antelope,CA,95843,,,,,,,,,,
,,Durham Country Market,,2831 Durham Dayton Hwy,,Durham,CA,95938,,,,,,,,,,
,,Albertsons 6786,,1133 Mission Rd,,Fallbrook,CA,92028,,,,,,,,,,
,,Liquor Stop N Go Market,,20001 Roscoe Blvd,,Canoga Park,CA,91306,,,,,,,,,,
,,Food Palace Store,,3550 National Ave,,San Diego,CA,92113,,,,,,,,,,
,,Albertsons 6354,,7127 Hollister Ave,,Goleta,CA,93117,,,,,,,,,,
,,Century Pure Water # 3,,3086 Story Road,,San Jose,CA,95127,,,,,,,,,,
,,Superior 110,,1720 E 17 Th Street,,Santa Ana,CA,92705,,,,,,,,,,
,,Circle K 0633,,3223 Interchange,,Riverside,CA,92501,,,,,,,,,,
,,Aqua Life,,138 East Cole Road,Suite 8,Calexico,CA,92231,,,,,,,,,,
,,Mi Ranchito Market,,12500 Main St,,Lamont,CA,93241,,,,,,,,,,
